datum;objekt;boarea;rum;avgift;slutpris;diff;maklare
2019-12-23;Åre strand 23:2 AB, v.6;118;4;371;135000;-31;HusmanHagberg Åre
2019-10-19;Åre strand 19:1;118;4;371;240000;-14;HusmanHagberg Åre
2019-10-14;Åre strand 23:1;119;4;371;69000;0;HusmanHagberg Åre
2019-10-07;Åre Strand 17;118;4;371;220000;-8;SkandiaMäklarna Saltsjöbaden
2019-07-15;Åre strand 15:2;118;4;375;95000;-5;HusmanHagberg Åre
2019-04-12;Åre strand 14:1 v.15;95;3;358;220000;-8;HusmanHagberg Åre
2019-03-14;Åre strand 1B3;78;3;300;120000;-14;HusmanHagberg Åre
2019-02-10;Åre Strand 6A1;111;4;1075;775000;-3;Hemverket AB
2019-01-30;Åre Strand 22:1 A B;119;4;371;115000;-21;Hemverket AB
2017-11-05;Åre Strand 6;81;3;928;695000;0;Hemverket AB
